曲名,调性,乐谱
水星记,F,"[[6,0,5,0,3,0,6,0,0,0,5,0,3,0,6,0],[0,0,0,0,0,0,0,0,6,0,5,0,1,0,3,0],[0,0,2,0,5,0,3,0,0,0,2,0,5,0,3,0],[0,0,0,0,0,0,0,0,1,0,2,0,3,0,5,0]]"
最美的期待,C,"[[0,0,0,1,1,7,1,2,0,0,0,2,2,1,7,1],[0,6,0,1,1,7,1,2,0,1,0,3,0,2,0,1],[0,0,0,1,1,7,1,2,0,0,0,2,2,1,7,1],[0,6,0,1,1,7,1,2,0,1,0,3,0,2,0,1]]"
最美的期待,C,"[[0,0,0,1,1,2,3,5,0,2,0,2,2,1,7,1],[0,6,0,2,2,1,7,1,0,5,0,1,1,2,3,5],[0,0,0,1,1,7,6,6,0,5,0,4,4,3,2,3],[0,0,0,1,4,3,2,4,0,1,0,1,0,2,0,1]]"
稻香,A,"[[1,0,6,1,0,1,1,1,2,2,2,2,3,0,1,0],[1,0,6,1,0,0,1,1,2,2,2,2,3,0,1,0],[1,0,6,1,0,0,1,1,2,2,2,2,0,0,1,0],[3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
稻香,A,"[[5,0,5,5,0,5,5,5,0,5,5,5,3,0,2,0],[1,0,2,3,0,3,3,3,0,3,3,3,3,0,1,0],[6,0,7,1,0,0,1,1,2,0,2,2,0,0,1,0],[3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0]]"
爱你,F,"[[3,0,3,0,5,0,5,5,0,0,4,0,0,0,1,0],[2,0,2,0,4,0,4,4,0,0,3,0,0,0,0,0],[1,0,1,0,3,0,3,3,0,0,2,0,6,0,7,0],[1,0,0,0,3,0,3,3,0,0,2,0,0,0,5,0]]"
燕园情,F,"[[3,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0],[3,0,0,0,0,0,2,3,1,0,0,0,0,0,3,5],[6,0,0,0,0,0,5,6,1,0,0,0,0,0,0,0],[2,1,2,4,5,4,5,6,5,0,0,0,0,0,0,0]]"
test,C,"[[1,1.5,2,2.5,3,4,4,4,5,5.5,6,6.5,7,0,0,0],[1,1.5,2,2.5,3,4,4,4,5,5.5,6,6.5,7,0,0,0],[1,1.5,2,2.5,3,4,4,4,5,5.5,6,6.5,7,0,0,0],[1,1.5,2,2.5,3,4,4,4,5,5.5,6,6.5,7,0,0,0]]"
500 miles,C,"[[5,0,1,0,3,0,0,3,2,0,1,0,3,0,0,0],[2,0,1,0,2,0,0,3,2,0,1,0,6,0,0,0],[6,0,1,0,2,0,0,3,2,0,1,0,6,0,0,0],[5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
alone,C,"[[5,0,3,0,0,0,2,0,0,3,1,0,0,0,0,0],[0,0,6,0,0,0,5,0,0,6,3,0,0,0,0,0],[0,0,3,0,0,0,2,0,0,5,1,0,0,0,0,0],[0,0,6,0,0,0,7,0,0,5,6,0,0,0,0,0]]"
always with me,C,"[[1,2,3,1,5,0,0,3,2,0,5,0,2,0,1,6],[3,0,0,1,7,0,0,0,1,7,6,0,7,0,1,2],[5,0,1,0,2,3,4,0,4,3,2,1,2,0,0,0],[1,2,3,1,5,0,0,3,2,0,5,0,2,0,1,6]]"
blowing in the wind,C,"[[5,0,5,5,6,0,6,6,5,0,3,2,1,0,0,5],[5,0,0,5,6,0,5,4,5,0,0,0,0,0,0,0],[5,0,5,5,6,0,6,6,5,0,3,2,1,0,0,5],[5,0,0,5,4,0,0,3,2,0,0,0,0,0,0,0]]"
city of star,F,"[[5,6,7,2,0,0,0,0,0,0,3,4,2,3,1,2],[2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[5,6,7,2,0,0,0,0,0,0,3,4,2,3,1,2],[2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
fish in the pool,C,"[[7,0,1,0,2,0,3,0,0,0,2,0,6,0,0,0],[0,0,3,0,0,0,2,0,5,0,2,0,7,0,1,0],[0,0,6,0,7,0,0,0,6,0,1,0,0,0,6,0],[7,0,1,0,2,0,3,0,0,0,2,0,6,0,0,0]]"
down by the garden,C,"[[1,2,3,0,2,1,2,0,3,5,6,0,0,0,5,0],[1,5,6,0,5,3,2,0,1,2,3,0,0,0,1,2],[3,0,2,1,2,0,3,5,6,0,0,0,5,0,1,5],[6,0,5,3,2,0,0,1,1,0,0,0,0,0,5,0]]"
mountain faraway,C,"[[5,0,0,0,3,0,0,0,0,0,2,0,3,0,5,0],[6,0,0,0,0,0,7,6,5,0,3,0,2,0,0,0],[0,0,4,2,1,0,2,0,3,0,0,0,0,0,0,0],[5,0,0,0,3,0,0,0,0,0,2,0,3,0,5,0]]"
lostmemory,C,"[[1,0,2,0,3,0,5,0,0,0,0,0,0,0,0,3],[3,4,4,3,2,1,2,0,0,0,0,0,0,0,0,4],[4,5,4,3,2,1,2,0,0,0,0,0,3,2,2,1],[1,0,0,0,5,0,3,0,0,0,0,0,0,0,3,1]]"
送别,C,"[[5,0,3,5,1,0,0,7,6,0,1,0,5,0,0,0],[5,0,1,2,3,0,2,1,2,0,0,0,0,0,0,0],[5,0,3,5,1,0,0,7,6,0,1,0,5,0,0,0],[5,0,2,3,4,0,0,7,1,0,0,0,0,0,0,0]]"
雪绒花,C,"[[3,0,0,0,5,0,2,0,0,0,0,0,1,0,0,0],[5,0,4,0,0,0,0,0,3,0,0,0,3,0,4,0],[5,0,6,0,0,0,0,0,5,0,0,0,0,0,3,0],[0,0,5,0,2,0,0,0,0,0,1,0,0,0,5,0]]"
love me tender,G,"[[2,5,0,4.5,5,0,6,0,3,6,0,0,5,0,4.5,3],[0,4.5,4,5,0,0,0,0,0,7,7,0,7,7,0,7],[0,7,7,0,0,0,0,0,7,0,6,5,0,6,7,0],[0,0,0,0,7,7,0,1,7,0,6,0,3,6,0,0]]"
泪光,C,"[[5,0,0,0,6,1,1,0,5,0,0,0,6,0,1,0],[2,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0],[6,0,1,0,1,0,2,0,5,0,5,0,4,0,3,0],[2,0,6,0,7,0,1,0,2,0,0,0,0,0,0,0]]"
first boogie,G,"[[5,5,7,7,2,2,3,3,5,5,3,3,2,2,7,7],[5,5,7,7,2,2,3,3,5,5,3,3,2,2,7,7],[1,1,3,3,5,5,6,6,1,1,6,6,5,5,3,3],[5,5,7,7,2,2,3,3,5,5,3,3,2,2,7,7]]"
amazing grace,G,"[[2,3,5,0,0,7,6,5,7,0,0,0,7,6,5,0],[0,0,3,0,2,0,0,0,2,3,5,0,0,7,6,5],[7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0],[7,2,2,0,0,0,7,0,5,0,0,0,7,6,5,0]]"
country walz,G,"[[7,0,2,0,2,0,7,6,5,0,5,0,6,0,0,5],[6,0,7,0,0,0,0,0,7,0,2,0,2,0,7,6],[5,0,5,0,6,0,0,7,6,0,5,0,0,0,0,0],[3,0,5,0,5,0,2,0,7,0,5,0,6,0,0,5]]"
hot dog,E,"[[0,7,1.5,3,4.5,5.5,4.5,5.5,0,7,1.5,3,4.5,5.5,4.5,5.5],[0,7,1.5,3,4.5,5.5,4.5,5.5,3,0,2.5,2,2,0,0,0],[0,7,1.5,3,5,0,4.5,3,0,7,1.5,3,5,4.5,0,3],[0,7,1.5,3,4.5,5.5,4.5,5.5,3,7,1.5,3,0,0,0,0]]"
天空之城,C,"[[6,0,7,0,1,0,0,0,0,0,7,0,1,0,3,0],[3,0,7,0,7,0,0,0,0,0,3,0,6,0,0,0],[0,0,5,0,6,0,1,0,1,0,5,0,5,0,0,0],[0,0,3,0,4,0,1,0,1,0,3,0,0,0,0,0]]"
海滩,A,"[[0,0,0,0,6,0,0,0,5.5,0,0,0,0,0,6,0],[3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,6,0,0,0,5.5,0,0,0,0,0,6,0],[1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
you are my sunshine,C,"[[0,0,5,0,1,0,2,0,3,0,0,0,3,0,0,0],[3,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0],[1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0],[1,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0]]"
jimbalaya,G,"[[7,0,0,0,2,0,0,0,3,0,0,0,0,0,7,0],[7,0,7,0,2,0,0,0,3,0,0,0,0,0,0,0],[2,0,0,0,7,0,0,0,2,0,0,0,6,0,0,0],[2,0,0,0,2,0,2,0,4.5,0,0,0,0,0,4.5,0]]"
欢乐颂,C,"[[3,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0],[5,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0],[1,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0],[3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0]]"
when a child is born,C,"[[0,0,0,0,5,0,0,0,1,0,0,0,2,0,0,0],[3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],[2,0,0,0,4,0,0,0,7,0,0,0,1,0,0,0],[1,0,0,0,5,0,0,0,1,0,0,0,3,0,0,0]]"
what a wonderful world,C,"[[0,0,5,0,1,0,0,0,0,0,0,0,5,0,0,0],[0,0,0,0,6,0,0,0,0,0,6,0,5,0,0,0],[4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0],[2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0]]"
blowing in the wind,C,"[[5,0,0,0,5,0,5,0,6,0,0,0,6,0,6,0],[5,0,0,0,3,0,2,0,1,0,0,0,0,0,5,0],[5,0,0,0,0,0,5,0,6,0,0,0,5,0,4,0],[5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
oh susanna,C,"[[1,2,3,0,5,0,5,0,0,6,5,0,3,0,1,0],[0,2,3,0,3,0,2,0,1,0,2,0,0,0,2,0],[1,2,3,0,5,0,5,0,0,6,5,0,3,0,1,0],[0,2,3,0,3,0,2,0,2,0,1,0,0,0,0,0]]"
老鹰之歌,F,"[[2,0,1.5,0,2,0,3,0,4,0,3,0,4,0,5,0],[6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0],[6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0],[6,0,0,0,0,0,0,0,0,0,6,0,5,0,4,0]]"
甜蜜蜜,G,"[[7,0,0,0,2,0,3,0,7,0,0,0,0,0,5,0],[6,0,0,0,0,0,5,0,6,0,0,0,7,0,2,0],[7,0,0,0,6,0,6,0,6,0,7,0,6,0,5,0],[3,0,2,0,5,0,0,0,0,0,7,0,6,0,0,5]]"
一个人的歌,G,"[[3,5,7,0,7,0,6,5,5,6,7,0,0,0,0,0],[7,2,3,0,2,0,2,0,7,6,6,0,0,0,0,0],[5,6,7,0,3,0,0,0,0,0,0,0,7,0,6,5],[3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
besame mucho,C,"[[6,0,6,6,6,0,0,0,6,0,0,0,7,0,1,0],[3,0,0,0,2,0,0,0,2,0,2,0,3,0,3,0],[4,0,5.5,0,6,0,7,0,3,0,0,0,0,0,0,0],[6,0,6,6,6,0,0,0,0,0,0,0,5,0,4,0]]"
dirty old town,G,"[[0,0,2,0,5,0,6,0,7,0,0,0,0,0,0,0],[7,0,5,6,7,0,5,0,2,0,0,0,0,0,0,0],[2,0,5,0,7,0,2,0,3,0,0,0,0,0,0,0],[3,0,3,2,7,0,6,5,7,0,0,0,0,0,0,0]]"
fly me to the moon,C,"[[1,0,7,0,6,5,5,4,4,0,0,5,6,1,1,0],[7,0,0,6,5,4,4,3,3,0,0,0,0,0,0,0],[6,0,0,5,4,3,3,2,2,0,0,3,4,6,6,0],[5.5,0,0,4,3,2,2,1,1,0,0,0,0,0,1.5,0]]"
long long road,G,"[[2,0,0,0,0,2,1,7,5,0,0,0,0,0,0,0],[2,0,0,0,0,2,1,7,5,0,0,0,0,0,0,0],[2,0,0,0,0,3,2,7,5,0,0,0,0,0,0,0],[3,0,2,0,0,1,0,7,0,5,0,0,0,0,0,0]]"
midnight blues,G,"[[7,0,7,6,7,0,2,0,1,0,1,0,5,0,6,0],[7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0],[1,0,1,7,1,0,3,0,0,0,1,1,2,0,1,0],[7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0]]"
mr right,G,"[[0,2,3,2,5,0,0,0,0,0,3,0,2,0,0,0],[7,0,7,0,5,0,0,0,0,0,0,2,3,2,5,0],[0,0,0,0,3,0,2,0,0,0,7,0,7,0,5,0],[0,0,0,0,0,0,0,2,3,2,5,0,0,0,3,0]]"
saint james infirmary,G,"[[3,0,5,0,7,0,0,0,7,0,0,0,6,0,0,0],[6,0,7,6,5,0,3,0,3,0,0,0,0,0,0,0],[7,0,0,0,7,0,0,0,3,0,0,0,3,0,2,1],[7,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0]]"
saint luis blues,G,"[[0,6,7,2,7,5,5,0,0,0,0,2,3,5,6,5],[6.5,0,6,5,5,0,0,0,0,0,0,2,3,5,6,5],[5,0,0,0,0,2,3,5,6,5,6.5,0,6,5,5,0],[0,0,0,4,4,6,4,2,2,0,0,0,0,2,3,5]]"
summer time,F,"[[6,4,6,0,0,0,0,0,0,0,5,4,5,6,4,0],[2,0,0,0,6,0,0,0,6,4,5,0,0,0,0,0],[4,2,4,5,4,3,0,0,0,0,0,0,6,4,6,0],[0,0,5,4,5,6,4,0,2,0,6,0,6,0,1,0]]"
blues,G,"[[2,0,2,0,2,1,7,5,0,5,0,0,0,0,0,0],[2,0,2,0,2,1,7,5,0,5,0,0,0,0,0,0],[1,0,1,0,3,4,3,1,0,1,0,0,0,0,0,0],[2,0,2,0,2,1,7,5,0,5,0,0,0,0,0,0]]"
wooden blues,G,"[[0,6.5,7,2,3,0,7,0,7,0,7,2,3,0,7,0],[7,0,0,0,6.5,6,5,3,5,0,6,6.5,6.5,6,5,3],[5,0,5,5,4.5,0,2,0,2,0,0,0,0,0,3,5],[3,2,7,6,7,0,0,0,0,6.5,7,2,3,5,3,2]]"
help me make it through the night,E,"[[0,7,3,5.5,6,5.5,4.5,5.5,7,0,0,0,0,0,0,0],[0,0,5.5,0,5.5,0,5.5,0,5.5,4.5,3,0,0,0,0,0],[0,0,6,6,6,5.5,4.5,6,2.5,0,0,0,0,0,0,0],[0,0,6,6,5.5,4.5,3,4.5,5.5,0,0,0,0,0,0,0]]"
看海的街道,C,"[[0,3,1,0,0,3,7,0,0,3,6,0,5,4,5,0],[0,1,2,4,6,1,7,5,3,2,3,0,0,0,0,0],[0,3,1,0,0,3,7,0,0,3,6,0,5,4,5,0],[0,3,2,4,6,1,2,3,7,5,6,0,0,0,0,0]]"
the end,A,"[[1.5,4.5,5.5,6,5.5,4.5,2,0,0,0,0,0,0,0,2,4.5],[5.5,6,5.5,4.5,1.5,0,0,0,0,0,1.5,4.5,5.5,6,5.5,4.5],[2,0,0,0,0,0,7,6,5.5,6,5.5,4.5,1.5,0,0,0],[2,1.5,7,1.5,7,6,4.5,0,0,0,5.5,0,1.5,7,6,7]]"
city of stars,F,"[[5,6,6.5,2,2,0,0,0,0,0,3,4,2,3,1,2],[2,6,6,0,0,0,0,0,5,6,6.5,2,2,0,0,0],[3,4,2,3,1,2,2,6,6,0,0,0,0,0,6,0],[6.5,0,0,0,0,0,0,0,0,2,1,2,1,2,1,2]]"
G jazz blues,G,"[[0,2,3,5,7,2,3,5,5,0,0,5,2,5,1.5,5],[1,0,0,0,7,1,1.5,2,5,0,2,3,4,1.5,3,2],[2,0,0,0,1,2,3,5,6,0,0,0,1.5,3,5,5.5],[6,0,0,0,7,0,5,3,7,1,1.5,2,5,0,5,5.5]]"
C jazz blues,C,"[[0,5,6,1,3,5,6,1,1,0,0,1,2.5,3,1,5],[4,0,0,0,3,4,2.5,3,1,0,6,5,6.5,3,6,5],[5,0,0,0,4,5,6,1,2,0,0,0,4.5,6,1,1.5],[2,0,0,0,3,0,4,1,5,6,6.5,7,1,0,1,1.5]]"
F jazz,F,"[[0,5,6.5,1,2,4,5.5,6,6,0,0,6,4,1,7,4],[6.5,0,0,0,6,6.5,7,1,4,0,1,2,2.5,7,2,1],[1,0,0,0,2,4,5,4,5.5,0,0,0,4,5.5,7,1.5],[4,0,0,0,5,0,6.5,2,6,1.5,2,2.5,3,0,4,4.5]]"
B jazz,B,"[[0,1.5,2,4,5,4,5,5.5,5.5,0,0,5.5,5,1.5,5,1],[1.5,0,0,0,4,4.5,5,5.5,6.5,0,1,1.5,1,5.5,5,2],[2,0,0,0,5,4.5,5,6.5,1.5,0,0,0,4.5,6,6.5,1.5],[3,0,0,0,4,0,4.5,2,1,5,5.5,6,6.5,0,6.5,7]]"
E jazz,E,"[[0,4.5,5,6.5,1,6.5,1.5,1,1,0,0,6.5,1,2.5,4,4.5],[4,0,0,0,4.5,5,3,4,6.5,0,7,1,1.5,1,1.5,5],[5,0,0,0,5.5,6.5,1,2.5,4,0,0,0,5,0,5.5,4],[6.5,7,1,2.5,7,0,7,1,1,0,0,0,4,0,2,1.5]]"
A jazz,A,"[[0,5.5,7,1,5.5,4,5.5,6.5,6.5,0,0,6.5,7,4,2.5,6.5],[5.5,0,0,0,6.5,1.5,4,4.5,4,0,6.5,5.5,4.5,7,1,2.5],[2.5,0,0,0,4,1.5,7,5.5,4,0,0,0,5.5,4,5.5,7],[2.5,0,0,0,2.5,0,4,5.5,1,2.5,4,4.5,4,0,7,1]]"
