曲名,调性,乐谱
D jazz blues,D,"[[0,4,5.5,6.5,1.5,7,1.5,4,4,0,0,4,3,2.5,3,7],[6.5,0,0,0,2.5,2.5,5.5,6.5,7,0,6.5,5.5,6.5,3,4,6.5],[5.5,0,0,0,4.5,5.5,6.5,1.5,2.5,0,0,0,3,4,1.5,6.5],[6.5,0,0,0,4,0,4.5,1.5,4,4.5,3,5.5,5.5,0,7,2]]"
danny boy,C,"[[0,0,7,0,1,0,2,0,3,0,0,0,0,0,2,0],[3,0,6,0,5,0,3,0,0,0,2,1,6,0,0,0],[0,0,1,0,3,0,4,0,5,0,0,0,0,0,6,0],[5,0,3,0,1,0,0,3,2,0,0,0,0,0,0,0]]"
你一定要是个孩子,A,"[[6,7,1.5,0,6,5.5,4.5,0,5.5,6,7,0,5.5,4.5,3,0],[4.5,5.5,6,0,4.5,0,5.5,0,6,7,1.5,0,0,0,0,0],[6,7,1.5,0,6,5.5,4.5,0,5.5,6,7,0,5.5,4.5,3,0],[4.5,5.5,6,0,7,6,5.5,0,4.5,3,4.5,0,0,0,0,0]]"
青鸟,A,"[[0,1.5,4.5,5.5,6,0,0,0,5.5,0,0,4.5,4.5,0,0,0],[0,1.5,4.5,5.5,6,0,6,0,7,0,6,7,7,1.5,1.5,0],[0,1.5,4.5,5.5,6.5,0,0,0,5.5,0,0,4.5,4.5,0,0,0],[0,4.5,1.5,7,0,4.5,1.5,7,0,3,3,3,3,4.5,4.5,0]]"
one more time one more chance,A,"[[0,0,3,3,6,7,0,7,2,2,1.5,1.5,6,3,3,0],[0,0,0,0,3,2,1.5,2,2,0,2,3,2,1.5,6,0],[0,0,3,3,6,7,0,2,2,1.5,2,1.5,6,3,3,0],[0,0,0,3,3,2,1.5,2,2,2,0,3,2,1.5,6,0]]"
朝,C,"[[5,0,0,0,0,0,1,2,3,0,0,0,0,0,3,5],[5,0,0,4,4,0,3,0,1,0,0,0,0,0,1,2],[4,0,0,0,0,0,0,0,4,0,3,0,1,0,2,0],[2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0]]"
幽灵公主,C,"[[6,3,3,2,3,0,0,3,5,2,2,0,0,0,0,0],[6,3,3,2,3,0,0,3,5,0,0,0,0,0,0,0],[3,5,6,6,6,6,6,0,0,6,5,0,2,0,3,0],[0,0,2,2,2,3,2,0,6,0,3,0,0,0,0,0]]"
卡农,A,"[[1.5,0,0,0,7,0,0,0,6,0,0,0,5.5,0,0,0],[4.5,0,0,0,3,0,0,0,4.5,0,0,0,5.5,0,0,0],[6,0,0,0,5.5,0,0,0,6,0,1.5,0,3,0,4.5,0],[2,0,0,0,1.5,0,0,0,4.5,0,6,0,6,0,6,5.5]]"
风之甬道,C,"[[5,1,2,0,2,3,1,0,6,1,2,0,2,5,3,0],[3,5,6,6,6,1,7,6,5,4,3,0,2,6,3,0],[6,1,2,0,2,3,1,0,6,1,2,0,2,5,3,0],[3,5,6,6,6,1,7,6,5,3,6,0,0,0,0,0]]"
yesterday once more,G,"[[0,5,5,6,7,0,2,0,2,7,2,7,3,2,0,7],[0,0,0,0,7,2,3,0,4.5,0,7,2,0,3,0,0],[0,0,0,0,7,2,3,0,7,0,6,5,0,4.5,0,0],[0,2,7,2,0,7,6,0,0,0,0,0,0,0,0,7]]"
双门洞,B,"[[2,2.5,4,0,0,1,0,0,6.5,0,6,0,6,6,6,6.5],[6,0,0,0,5,4,5,6.5,0,5,0,4,0,0,0,2],[1,6.5,6.5,6.5,6.5,2,2,2,6.5,1,0,6.5,6.5,6.5,6.5,1],[1,0,2,4,4,4,4,2,2,4,4,0,0,0,0,0]]"
remember me,C,"[[2,0,3,0,0,0,1,0,7,0,0,0,0,0,0,0],[0,0,5,0,3,0,4,0,1,1,1,0,2,0,2,0],[3,0,3,0,2,0,5,0,0,0,0,0,0,0,0,0],[0,0,3,0,4,0,3,0,3,0,2,0,2,0,0,0]]"
红鼻子驯鹿鲁道夫,C,"[[5,6,6,5,3,0,1,0,6,0,5,0,0,0,0,0],[5,6,6,5,5,0,1,0,7,0,0,0,0,0,0,0],[4,5,5,4,2,0,7,0,6,0,5,0,0,0,0,0],[5,6,5,6,5,0,6,0,3,0,0,0,0,0,0,0]]"
close to you,A,"[[4.5,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0],[3,0,2,0,0,0,3,4.5,1.5,0,0,0,0,0,1.5,3],[5.5,0,0,0,0,0,1.5,0,3,0,6,0,6,0,0,0],[4.5,0,6,0,0,0,3,0,0,0,0,0,4.5,0,6,0]]"
the end of the world,A,"[[1.5,0,1.5,7,6,0,1.5,4.5,3,7,7,0,0,0,0,0],[6,0,6,5.5,4.5,0,6,2,1.5,0,0,0,0,0,0,0],[7,0,4.5,4,4.5,0,3,4.5,5,0,3,1.5,3,0,0,1.5],[4.5,0,3,0,2,1.5,7,1.5,2,0,0,0,0,0,0,0]]"
peacheria rag,C,"[[0,3,4,4.5,5,0,1,0,7,0,6,0,5,1,0,7],[0,6,5,3,5,0,1,0,7,0,6,0,5,7,0,6],[0,5,2,3,4,0,7,0,6,0,5,0,4,7,0,6],[0,5,7,2,4,0,4,0,4,0,4.5,0,5,0,1,2]]"
vicent,F,"[[1,0,2,0,4,0,5,0,6,0,0,0,0,0,0,0],[6,0,5,0,0,0,4,2,5,0,0,0,6,0,2,0],[2,0,0,0,6,0,5,0,0,0,4,2,5,0,0,0],[6,0,2,0,2,0,0,0,0,0,4,0,4,0,3,0]]"
喜洋洋,G,"[[2,0,2,3,2,0,7,6,2,0,2,3,2,0,7,6],[2,3,2,6,2,3,2,6,7,0,7,6,5,6,7,0],[2,0,2,3,2,0,7,6,2,0,2,3,2,0,7,6],[2,3,2,6,2,3,2,6,5,6,5,2,5,0,2,0]]"
一去不返的时光,D,"[[0,0,6,0,2,0,3,0,4.5,0,0,0,0,0,4.5,0],[4.5,0,5,0,5,0,3,2,3,0,0,0,0,0,0,0],[1.5,0,2,0,3,0,0,0,0,0,3,0,3,0,4.5,0],[4.5,0,2,1.5,7,0,0,0,1.5,0,2.5,0,3,0,0,0]]"
my way,C,"[[5,0,3,0,0,0,3,5,3,2,3,0,0,0,0,0],[3,2,3,2,2,0,0,0,1.5,0,0,6,4,0,0,0],[4,4,4,3,4,0,0,0,4,5,5,2,4,0,0,0],[3,0,0,1,5,0,0,0,5,6,5,0,5,0,0,0]]"
looking with cely,C,"[[0,5,1,2,1,7,6,1,3,4,0,3,3,0,0,0],[0,2,2,3,4,3,2,6,6,3,3,0,0,0,0,0],[0,2,2,3,4,4,3,2,1,2,2,3,3,0,1,0],[7,0,0,0,7,6,7,6,3,0,0,0,0,0,0,0]]"
午夜巴黎,B,"[[3,4,2,4,2,0,0,0,3,4,1,4,1,0,0,0],[3,4,.5,2,6.5,0,0,0,1.5,2,5.5,1,5.5,0,0,0],[5,6.5,5,0,0,0,0,0,4.5,6.5,4.5,0,0,0,0,0],[4,0,0,0,0,0,5,0,4,0,0,0,0,0,2,2.5]]"
体面,B,"[[0,0,0,4,2,2,1,2,2,2,1,2,2,2,1,2],[2,6,6,0,0,0,0,0,0,0,0,6,2,2,1,2],[2,2,1,2,2,2,1,2,2,6,6,0,0,0,0,0],[2,4,2,4,4,0,6.5,6.5,6.5,0,1,1,1,0,1,0]]"
dont worry be happy,G,"[[5,0,0,0,3,0,2,0,3,0,7,0,2,7,6,5],[6,7,7,6,6,0,0,0,0,0,0,0,2,7,6,5],[6,7,7,6,6,0,0,0,7,6,5,3,6,0,0,0],[0,0,7,6,7,0,7,0,7,7,7,2,0,7,6,5]]"
玫瑰人生,G,"[[5,0,0,4.5,3,2,7,5,4.5,0,0,3,2,7,5,4.5],[3,0,0,2,7,4.5,5,4.5,3,0,0,0,0,0,2,0],[6,0,0,5,4.5,3,1,5,4.5,0,0,4,2,1,6,4.5],[3,0,0,2,1,5.5,6,4.5,3,0,0,0,0,0,2,0]]"
望春风,F,"[[1,0,0,1,2,0,4,0,5,0,4,5,6,0,0,0],[1,0,0,6,6,5,4,0,5,0,0,0,0,0,0,0],[6,0,0,1,1,0,6,1,4,0,0,5,5,0,0,0],[1,0,0,6,6,0,5,0,4,0,0,0,0,0,0,0]]"
浪子心声,A,"[[0,0,3,3,1.5,0,6,0,7,0,0,0,0,0,0,0],[0,0,3,5.5,1.5,0,7,0,6,0,0,0,0,0,0,0],[0,0,1.5,7,6,0,5.5,7,4.5,0,3,0,0,0,3,0],[4.5,0,0,7,5.5,0,4.5,3,1.5,0,0,0,0,0,0,0]]"
浪子心声,A,"[[0,0,3,3,1.5,7,6,0,7,0,0,0,0,0,0,0],[0,0,3,5.5,1.5,0,7,0,6,0,0,0,0,0,0,0],[0,0,3,5,1.5,0,7,0,6,0,0,0,0,0,0,0],[0,0,.5,7,6,0,5.5,7,6,0,4.5,0,3,0,0,0]]"
yesterday,C,"[[2,1,1,0,0,0,0,0,0,0,3,4.5,5.5,6,7,1],[7,6,6,6,6,0,0,0,0,0,6,6,5,4,3,2],[4,0,3,3,3,0,2,0,1,0,3,2,2,0,0,1],[1,0,3,3,3,0,0,0,3,0,0,0,3,0,0,0]]"
sight,C,"[[4,5,6,1,7,5,4,6,5,0,4,0,0,0,4,5],[6,0,4,0,2,0,4,0,2,0,0,4,5,6,1,7],[5,6,4,5,2,0,4,0,2,0,0,0,1,0,4,0],[2,0,0,0,.5,1,6.5,6,6.5,0,0,0,6.5,0,6,0]]"
blues for peter,E,"[[0,5.5,4.5,3,5.5,0,0,0,0,5.5,4.5,3,5.5,0,0,0],[0,5.5,4.5,3,4.5,0,0,0,0,0,1.5,3,5,0,4.5,0],[3,0,1.5,3,5.5,0,0,0,0,0,7,3,5.5,0,0,0],[0,0,7,3,4.5,0,0,0,0,0,1.5,3,5,0,4.5,0]]"
梁祝,C,"[[3,0,0,0,5,0,0,6,1,0,0,2,6,1,5,0],[5,0,0,1,6,5,3,5,2,0,0,0,0,0,0,0],[2,0,0,3,7,0,6,0,5,0,0,6,1,0,2,0],[3,0,1,0,6,5,6,1,5,0,0,0,0,0,0,0]]"
秋意浓,C,"[[6,0,0,7,7,0,0,0,0,0,0,0,6,7,6,3],[6,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0],[6,0,0,7,7,0,0,0,0,0,5,0,1,0,0,7],[5,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0]]"
追梦人,C,"[[6,0,6,0,6,0,7,1,7,6,5,0,5,0,6,7],[6,0,3,0,3,0,0,2,3,0,0,0,0,0,0,0],[5,0,5,0,5,3,2,3,5,0,6,7,1,0,7,6],[7,0,5,0,5,6,7,6,0,0,0,0,0,0,0,0]]"
隔壁的龙猫,G,"[[0,0,5,0,4.5,0,5,2,2,0,0,0,0,0,0,0],[0,0,5,0,4.5,0,5,7,7,0,0,0,0,0,0,0],[1,0,7,0,6,0,5,1,1,0,7,0,6,0,5,0],[5,0,0,6,6,0,0,0,6,0,0,0,0,0,0,0]]"
mississippi march,E,"[[7,0,1.5,3,5.5,5,3,5.5,0,5.5,7,5,4.5,3,1.5,3],[7,7,1.5,3,5.5,5,3,1.5,0,7,5,4.5,3,0,0,0],[7,0,1.5,3,5.5,5,3,5.5,0,5.5,7,5,4.5,3,1.5,3],[7,7,1.5,3,5.5,5,3,1.5,0,7,5,4.5,3,3,3,1.5]]"
take me home country roads,A,"[[0,0,0,0,3,0,3,0,4.5,0,0,3,3,0,0,0],[0,0,0,0,4.5,0,3,4.5,4.5,0,6,0,6,0,0,0],[0,0,0,0,7,7,0,7,1.5,0,0,7,7,0,0,0],[4.5,0,4.5,0,4.5,0,3,0,4.5,0,0,6,6,0,0,0]]"
you raise me up,C,"[[0,0,5,0,5,0,1,0,3,0,0,0,0,0,1,0],[2,0,0,1,1,0,6,0,5,0,1,0,1,0,0,0],[0,0,7,0,1,0,3,0,5,0,0,0,0,0,1,0],[6,0,0,5,5,0,3,0,2,0,0,0,0,0,0,0]]"
樱花,C,"[[6,0,6,0,7,0,0,0,6,0,6,0,7,0,0,0],[6,0,7,0,1,0,7,0,6,0,7,6,4,0,0,0],[3,0,1,0,3,0,4,0,3,0,3,1,7,0,0,0],[6,0,7,0,1,0,7,0,6,0,7,6,4,0,0,0]]"
fishing blues,F,"[[6,5.5,6,5.5,6,1,0,0,6,5.5,6,4,4,0,0,0],[5.5,5,4,2,4,5.5,0,4,4,0,0,0,0,0,0,0],[6,5.5,6,5.5,6,1,0,0,6,5.5,6,4,4,0,0,0],[5,0,0,5,5,0,6,5,5,0,0,0,0,0,0,0]]"
youve got friend in me,E,"[[5,6.5,6.5,5,1,0,6.5,2.5,2.5,0,0,0,0,0,0,0],[0,1,2.5,1,2.5,0,1,6.5,6.5,0,0,0,0,0,0,0],[0,1,1,5,6.5,2.5,2.5,0,2,2,2,2.5,2.5,1,6.5,2.5],[2.5,1,6.5,1,1,6.5,5,2.5,4,4,0,5,5,0,0,0]]"
can you feel the love tonight,B,"[[5,0,6,6.5,6.5,0,1,6.5,6.5,4,4,0,0,0,0,0],[5,0,6,6.5,6.5,1,1,6.5,6.5,0,0,0,0,0,0,0],[5,0,6,6.5,6.5,0,6.5,1,6.5,4,4,2,2,0,0,0],[2.5,0,2,1,1,0,2,1,1,0,0,0,0,0,0,0]]"
国际歌,G,"[[0,2,5,0,0,4.5,6,5,2,7,3,0,0,0,0,0],[0,2,6,6,0,5,0,4.5,3,2,1,7,0,0,0,0],[0,2,5,0,0,4.5,6,5,2,7,3,0,0,0,1,0],[6,5,4.5,6,0,1,0,4.5,0,5,0,0,0,0,0,0]]"
desperado,G,"[[7,0,0,0,0,0,6,0,6,0,5,0,5,0,0,0],[0,0,7,0,6,0,5,0,3,5,3,0,6,0,5,0],[5,0,0,0,0,0,5,6,7,0,2,0,2,0,0,7],[3,0,2,0,2,0,0,0,7,0,6,0,5,0,6,0]]"
run with the wind,G,"[[0,0,6.5,5,5,0,0,0,0,6.5,6,5,6,3,5,0],[0,0,6.5,5,5,0,0,0,0,3,5,3,3,6.5,6.5,0],[0,0,7,6.5,6,2.5,2.5,0,3,3,3,6.5,5,6,6,0],[0,6.5,6,5,6.5,6,5,6,6,0,0,0,0,0,0,0]]"
今晚月光真美呀,C,"[[0,0,0,0,5,0,6,0,1,0,6,0,5,0,3,0],[2,0,0,3,2,0,1,0,6,0,0,0,0,0,0,0],[2,0,0,3,2,0,1,0,6,0,0,0,6,0,1,0],[2,0,0,1,2,0,3,0,2,0,0,0,0,0,0,0]]"
hey jude,G,"[[2,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0],[2,0,3,0,6,0,0,0,0,0,0,0,6,7,1,0],[5,0,0,0,0,0,5,0,4.5,0,2,0,3,0,2,7],[7,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0]]"
今宵多珍重,C,"[[0,0,5,0,1,0,0,0,1,0,2,0,3,0,5,0],[5,0,6,0,5,0,3,0,2,1,6,0,5,0,0,0],[0,5,0,1,0,0,0,1,0,2,0,3,0,1,0,0],[1,0,6,0,6,0,6,5,3,2,1,0,2,0,0,0]]"
mojito,C,"[[0,3,6,1,3,2,1,2,1,7,6,7,1,6,0,0],[0,3,6,1,3,2,1,2,1,7,6,7,1,0,0,0],[0,6,1.5,3,5,4,0,0,0,0,5,7,2,4,3,0],[0,0,0,4,6,1,3,2,2,3,2,1,7,6,7,0]]"
天空之城,G,"[[3,4.5,5,0,0,4.5,5,0,7,0,4.5,0,0,0,0,0],[7,0,3,0,0,2,3,0,5,0,2,0,0,0,0,0],[7,0,1,0,0,7,1,0,5,0,7,0,0,0,0,0],[5,0,4.5,0,0,1.5,1.5,0,4.5,0,4.5,0,0,0,0,0]]"
take out blues,G,"[[0,7,7,6.5,6,2,2,3,5,0,0,7,7,0,0,0],[0,1,1,7,1,3,2,1.5,2,0,1.5,0,1,0,7,0],[0,7,7,6.5,6,2,2,3,5,0,0,3,3,0,0,0],[0,1,1,7,1,3,2,1.5,2,0,0,2,2,0,0,0]]"
easy man,G,"[[6,7,2,0,0,0,0,0,6,7,5,0,0,0,0,0],[6,7,2,7,6,7,6,7,5,5,7,7,5,5,3,3],[6,7,5,0,0,0,0,0,6,7,3,0,0,0,0,0],[0,0,2,7,2,7,6,7,6,7,5,5,3,2,5,5]]"
swing,G,"[[4.5,0,5,0,0,0,0,0,4.5,0,4,0,0,0,0,0],[1.5,0,2,0,0,0,0,0,6.5,0,6.5,0,0,0,0,0],[7,0,1,0,0,0,0,0,1,0,1.5,0,0,0,0,0],[1.5,0,2,0,0,0,0,0,4,0,3,0,0,0,0,0]]"
little doggie,G,"[[5,0,0,7,6.5,6,6.5,6,5,0,0,7,2,0,0,0],[1,0,0,3,2,1.5,2,3,2.5,0,0,0,0,0,0,0],[3,0,0,1,5,1,3,5,2,0,0,7,5,7,2,5],[6,5.5,5,3,2,1.5,7,6.5,5,0,0,0,0,0,0,0]]"
alabama pie,G,"[[0,5,7,1,2,0,2,0,5,0,0,0,2,0,2,0],[5,0,0,0,2,0,2,0,5,5,3,2,5,0,0,0],[0,5,7,1,1,0,7,6,5,0,0,0,1,1,7,6],[5,0,0,0,2,0,2,0,5,5,3,2,5,0,0,0]]"
slee boogie,G,"[[5,5,6.5,7,2,2,3,2,4,2,3,2,2,2,3,2],[5,5,6.5,7,2,2,3,2,4,2,3,2,2,2,3,2],[1,1,3,3,5,5,6,5,1,1,3,3,5,5,6,5],[5,5,6.5,7,2,2,3,2,4,2,3,2,2,2,3,2]]"
st.louis blues,A,"[[0,1,1.5,3,1.5,6,6,0,0,0,0,3,4.5,6,7,6],[1,0,7,6,6,0,0,0,0,0,0,0,0,0,0,0],[4.5,6,4.5,6,6,0,0,0,0,3,4.5,6,7,6,1,0],[7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0]]"
